url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/77251,shopee-return-refund-policy,CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN,both,returns-policy,vi,not-stated,permission-required
https://help.shopee.vn/portal/4/article/79182,shopee-buyer-cancel-order,[Đơn hàng] Tôi có thể hủy đơn hàng không?,buyer,order-policy,vi,not-stated,permission-required
https://help.shopee.vn/portal/4/article/166085,shopee-voucher-policy,CHÍNH SÁCH CHUNG VỀ MÃ ƯU ĐÃI SHOPEE,buyer,promotion-policy,vi,not-stated,permission-required
https://help.shopee.vn/portal/4/article/77243,shopee-terms-of-service,ĐIỀU KHOẢN DỊCH VỤ,both,terms-of-service,vi,not-stated,permission-required
https://help.shopee.vn/portal/4/article/77250,shopee-shipping-policy,CHÍNH SÁCH VẬN CHUYỂN SHOPEE,both,shipping-policy,vi,not-stated,permission-required
https://help.shopee.vn/portal/4/article/77246,shopee-seller-listing-rules,QUY ĐỊNH VỀ ĐĂNG BÁN SẢN PHẨM TRÊN SHOPEE,seller,seller-rules,vi,not-stated,permission-required
https://help.shopee.vn/portal/4/article/77247,shopee-prohibited-items,CHÍNH SÁCH CẤM/HẠN CHẾ SẢN PHẨM,seller,product-compliance,vi,not-stated,permission-required
https://help.shopee.vn/portal/4/article/77245,shopee-operation-regulations,QUY CHẾ HOẠT ĐỘNG SÀN THƯƠNG MẠI ĐIỆN TỬ SHOPEE.VN,both,platform-regulations,vi,not-stated,permission-required
https://help.shopee.vn/portal/4/article/195504,shopee-mart-seller-terms,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN NGƯỜI BÁN THAM GIA SHOPEE MART,seller,seller-contract,vi,not-stated,permission-required
https://help.shopee.vn/portal/4/article/77252,shopee-seller-marketing-services,ĐIỀU KHOẢN SỬ DỤNG DỊCH VỤ HIỂN THỊ,seller,marketing-terms,vi,not-stated,permission-required
